Cluster,InvoiceNo,StockCode
0,537669,9
0,537674,19
0,537676,8
0,537681,7
0,537685,19
0,537686,3
0,537688,19
0,537689,17
0,537690,15
0,537691,20
0,537693,10
0,537694,14
0,537707,14
0,537754,22
0,537758,10
0,537759,12
0,537760,4
0,537764,45
0,537768,2
0,537769,47
0,537770,15
0,537772,62
0,537773,65
0,537775,45
0,537780,6
0,537781,136
0,537791,2
0,537792,19
0,537795,15
0,537796,6
0,537799,11
0,537801,5
0,537802,30
0,537803,2
0,537811,2
0,537815,15
0,537816,3
0,537817,7
0,537819,17
0,537826,21
0,537828,30
0,537830,15
0,537831,11
0,537837,14
0,537840,15
0,537842,15
0,537843,9
0,537844,38
0,537846,5
0,537847,6
0,537851,7
0,537854,5
0,537855,32
0,537859,26
0,537861,6
0,537866,9
0,537867,15
0,537879,8
0,537880,16
0,537882,4
0,537883,5
0,537885,16
0,537886,10
0,537892,9
0,537895,5
0,537896,14
0,537900,24
0,537915,12
0,537963,13
0,537967,2
0,538002,16
0,538006,2
0,538007,11
0,538010,5
0,538011,32
0,538013,12
0,538014,13
0,538015,21
0,538032,10
0,538035,73
0,538037,5
0,538040,60
0,538048,2
0,538056,24
0,538065,23
0,538067,26
0,538068,12
0,538069,66
0,538070,5
0,538073,10
0,538078,26
0,538079,17
0,538080,9
0,538086,38
0,538087,4
0,538094,11
0,538095,40
0,538097,15
0,538104,26
0,538106,12
0,538107,9
0,538108,17
0,538113,16
0,538116,18
0,538117,3
0,538126,12
0,538145,23
0,538146,21
0,538151,5
0,538155,33
0,538167,25
0,538171,65
0,538178,6
0,538181,7
0,538182,9
0,538183,32
0,538184,26
0,538185,6
0,538186,11
0,538187,10
0,538197,21
0,538198,87
0,538199,29
0,538200,14
0,538201,38
0,538206,15
0,538208,26
0,538210,32
0,538240,7
0,538248,38
0,538252,8
0,538260,16
0,538296,18
0,538308,16
0,538309,3
0,538310,2
0,538311,13
0,538312,44
0,538343,15
0,538345,7
0,538352,3
0,538363,19
0,538364,18
0,538367,43
0,538368,66
0,538369,37
0,538374,50
0,538378,38
0,538379,53
0,538382,37
0,538403,22
0,538409,9
0,538418,45
0,538419,34
0,538421,28
0,538437,24
0,538449,52
0,538488,27
0,538497,44
0,538499,2
0,538503,6
0,538508,118
0,538509,22
0,538510,37
0,538511,16
0,538512,9
0,538513,25
0,538515,13
0,538517,42
0,538519,6
0,538523,24
0,538527,7
0,538528,6
0,538529,23
0,538537,8
0,538567,17
0,538576,14
0,538591,10
0,538592,15
0,538594,2
0,538596,7
0,538626,56
0,538629,33
0,538633,20
0,538635,53
0,538636,41
0,538638,52
0,538639,20
0,538640,6
0,538646,14
0,538648,5
0,538652,62
0,538655,21
0,538656,7
0,538658,7
0,538659,34
0,538668,2
0,538671,5
0,538679,11
0,538683,20
0,538688,7
0,538697,3
0,538707,41
0,538708,18
0,538709,44
0,538710,12
0,538714,26
0,538715,18
0,538744,55
0,538753,6
0,538796,16
0,538801,17
0,538807,25
0,538810,21
0,538811,32
0,538812,6
0,538814,25
0,538815,11
0,538816,15
0,538817,4
0,538831,4
0,538832,25
0,538841,16
0,538845,6
0,538850,8
0,538851,16
0,538852,29
0,538853,55
0,538855,30
0,538862,17
0,538863,43
0,538864,5
0,538865,5
0,538869,3
0,538870,5
0,538879,19
0,538886,28
0,538888,14
0,538890,54
0,538896,17
0,538899,5
0,538901,11
0,538902,12
0,538903,26
0,538905,15
0,538907,5
0,538908,12
0,538909,5
0,538910,9
0,538917,73
0,538935,12
0,538944,10
0,538945,22
0,538967,8
0,538968,20
0,538992,29
0,538993,6
0,538994,9
0,538999,20
0,539000,7
0,539004,9
0,539006,4
0,539007,17
0,539008,8
0,539009,35
0,539011,4
0,539012,8
0,539014,24
0,539015,16
0,539018,16
0,539019,39
0,539032,5
0,539036,17
0,539038,20
0,539040,14
0,539041,25
0,539042,11
0,539043,17
0,539046,15
0,539050,67
0,539053,47
0,539064,5
0,539075,37
0,539079,10
0,539082,12
0,539083,2
0,539084,11
0,539086,12
0,539089,12
0,539094,7
0,539095,15
0,539098,19
0,539099,29
0,539103,18
0,539105,8
0,539111,8
0,539118,22
0,539185,39
0,539196,35
0,539201,13
0,539211,30
0,539212,16
0,539213,14
0,539214,13
0,539215,37
0,539217,24
0,539219,4
0,539222,16
0,539225,61
0,539226,6
0,539243,28
0,539248,7
0,539250,54
0,539252,19
0,539255,20
0,539261,31
0,539262,25
0,539263,21
0,539264,12
0,539269,3
0,539272,4
0,539280,4
0,539281,30
0,539282,5
0,539285,8
0,539290,16
0,539292,9
0,539294,49
0,539296,5
0,539297,10
0,539305,20
0,539306,5
0,539308,13
0,539311,15
0,539312,3
0,539313,11
0,539314,18
0,539315,11
0,539316,5
0,539317,42
0,539318,16
0,539321,42
0,539322,19
0,539324,46
0,539327,4
0,539333,20
0,539351,10
0,539353,21
0,539379,12
0,539391,10
0,539403,10
0,539407,5
0,539411,11
0,539415,9
0,539416,3
0,539417,4
0,539418,8
0,539420,4
0,539422,11
0,539423,7
0,539435,4
0,539447,18
0,539456,28
0,539462,15
0,539463,17
0,539464,31
0,539470,31
0,539471,41
0,539472,15
0,539474,7
0,539475,80
0,539477,27
0,539478,17
0,539483,9
0,539487,10
0,539490,15
0,539497,14
0,539498,19
0,539501,30
0,539502,40
0,539551,14
0,539572,2
0,539580,16
0,539581,11
0,539594,4
0,539597,2
0,539609,18
0,539628,7
0,539630,12
0,539634,2
0,539636,11
0,539637,19
0,539639,10
0,539647,56
0,539653,40
0,539658,16
0,539659,38
0,539660,4
0,539676,15
0,539716,5
0,539717,3
0,539720,3
0,539723,8
0,539725,20
0,539730,11
0,539752,15
0,539760,37
0,539764,10
0,539829,4
0,539835,19
0,539836,21
0,539837,14
0,539840,36
0,539859,5
0,539865,3
0,539867,7
0,539933,34
0,539946,8
0,539978,13
0,539981,21
0,539988,87
0,539993,17
0,540001,9
0,540003,22
0,540013,34
0,540016,11
0,540017,13
0,540019,29
0,540020,3
0,540022,10
0,540027,22
0,540032,8
0,540040,12
0,540043,15
0,540059,4
0,540060,10
0,540093,16
0,540094,18
0,540095,23
0,540096,16
0,540113,18
0,540115,8
0,540121,17
0,540146,25
0,540153,7
0,540159,2
0,540161,16
0,540167,9
0,540168,52
0,540180,12
0,540182,6
0,540184,6
0,540185,29
0,540188,34
0,540240,28
0,540245,7
0,540248,43
0,540249,15
0,540258,3
0,540259,21
0,540263,5
0,540273,17
0,540274,5
0,540280,2
0,540288,74
0,540316,29
0,540345,9
0,540349,42
0,540351,21
0,540353,69
0,540362,31
0,540365,23
0,540371,15
0,540373,34
0,540374,13
0,540387,13
0,540397,37
0,540402,26
0,540404,16
0,540409,17
0,540410,12
0,540411,11
0,540412,18
0,540414,23
0,540415,48
0,540416,8
0,540420,6
0,540453,23
0,540454,8
0,540459,10
0,540460,13
0,540461,8
0,540463,14
0,540465,3
0,540472,18
0,540473,131
0,540477,17
0,540479,10
0,540481,8
0,540482,34
0,540489,39
0,540493,15
0,540501,37
0,540502,20
0,540505,16
0,540506,34
0,540508,16
0,540509,51
0,540510,3
0,540511,30
0,540512,28
0,540513,9
0,540514,41
0,540515,29
0,540517,14
0,540518,7
0,540519,16
0,540520,49
0,540521,9
0,540524,38
0,540525,18
0,540528,12
0,540529,15
0,540530,27
0,540531,33
0,540537,13
0,540539,26
0,540540,22
0,540541,22
0,540542,5
0,540543,36
0,540544,5
0,540545,46
0,540548,9
0,540552,22
0,540553,4
0,540554,15
0,540562,15
0,540567,19
0,540595,29
0,540604,29
0,540630,8
0,540635,20
0,540639,21
0,540641,15
0,540647,91
0,540671,7
0,540672,50
0,540682,8
0,540688,3
0,540690,12
0,540692,23
0,540697,21
0,540700,19
0,540702,10
0,540704,13
0,540732,9
0,540750,8
0,540769,8
0,540777,3
0,540779,17
0,540782,8
0,540794,9
0,540798,77
0,540799,2
0,540803,53
0,540809,16
0,540813,56
0,540816,41
0,540817,16
0,540822,2
0,540823,7
0,540824,12
0,540825,3
0,540827,29
0,540829,4
0,540835,10
0,540838,27
0,540839,48
0,540840,7
0,540849,29
0,540851,7
0,540856,39
0,540858,4
0,540862,9
0,540866,11
0,540953,79
0,540955,13
0,540968,66
0,540970,3
0,540971,30
0,540975,24
0,540980,26
0,540981,22
0,540984,18
0,540990,15
0,540992,46
0,540993,13
0,540997,8
0,541002,14
0,541003,15
0,541004,9
0,541006,18
0,541008,5
0,541010,11
0,541011,9
0,541012,41
0,541015,14
0,541018,37
0,541038,41
0,541086,21
0,541087,9
0,541094,35
0,541103,37
0,541107,15
0,541109,2
0,541110,33
0,541111,22
0,541112,20
0,541113,12
0,541119,6
0,541120,42
0,541121,10
0,541122,18
0,541123,35
0,541126,20
0,541135,7
0,541138,37
0,541139,22
0,541149,3
0,541181,3
0,541205,37
0,541207,16
0,541213,63
0,541217,3
0,541218,9
0,541223,67
0,541225,19
0,541226,5
0,541239,14
0,541240,25
0,541241,36
0,541242,2
0,541244,34
0,541249,17
0,541250,6
0,541252,9
0,541256,40
0,541258,36
0,541259,16
0,541260,30
0,541262,73
0,541264,22
0,541265,95
0,541266,40
0,541267,25
0,541268,28
0,541269,52
0,541270,16
0,541271,19
0,541272,5
0,541273,11
0,541274,31
0,541275,4
0,541277,23
0,541281,13
0,541283,11
0,541286,29
0,541288,7
0,541290,5
0,541292,21
0,541294,6
0,541302,19
0,541357,8
0,541370,17
0,541371,34
0,541400,2
0,541406,62
0,541409,4
0,541413,28
0,541414,34
0,541427,6
0,541428,8
0,541435,12
0,541439,5
0,541473,8
0,541474,4
0,541480,9
0,541481,16
0,541483,7
0,541490,4
0,541491,28
0,541510,24
0,541517,2
0,541520,13
0,541521,7
0,541522,18
0,541523,25
0,541524,37
0,541566,30
0,541568,10
0,541569,24
0,541574,16
0,541576,23
0,541588,31
0,541590,27
0,541591,17
0,541594,15
0,541602,28
0,541604,54
0,541605,4
0,541606,4
0,541609,5
0,541615,19
0,541649,12
0,541655,31
0,541657,4
0,541658,58
0,541659,10
0,541660,42
0,541664,11
0,541675,10
0,541676,33
0,541677,5
0,541678,22
0,541679,3
0,541681,14
0,541682,17
0,541686,13
0,541690,3
0,541698,36
0,541699,16
0,541700,11
0,541703,11
0,541706,5
0,541709,27
0,541712,29
0,541732,4
0,541756,4
0,541783,35
0,541784,52
0,541785,4
0,541788,15
0,541792,14
0,541795,27
0,541797,6
0,541799,2
0,541800,10
0,541801,9
0,541813,21
0,541815,2
0,541816,73
0,541832,11
0,541837,10
0,541838,37
0,541839,33
0,541841,11
0,541842,28
0,541845,39
0,541847,51
0,541850,40
0,541853,8
0,541856,44
0,541857,11
0,541858,14
0,541860,6
0,541862,24
0,541866,26
0,541867,5
0,541873,8
0,541874,10
0,541876,6
0,541877,19
0,541880,13
0,541881,4
0,541884,6
0,541916,8
0,541919,22
0,541946,18
0,541947,15
0,541948,17
0,541949,18
0,541960,4
0,541962,8
0,541963,11
0,541968,15
0,541970,44
0,541972,27
0,541973,14
0,541974,25
0,541978,4
0,541980,10
0,541981,9
0,541984,8
0,541985,28
0,541986,20
0,541987,66
0,541988,5
0,541989,23
0,541990,11
0,541991,15
0,541995,19
0,541996,17
0,541997,27
0,541998,5
0,542000,39
0,542005,11
0,542006,28
0,542026,9
0,542057,33
0,542059,7
0,542079,3
0,542081,2
0,542083,12
0,542090,21
0,542096,24
0,542098,8
0,542100,41
0,542103,52
0,542105,34
0,542108,6
0,542111,16
0,542112,73
0,542113,7
0,542114,21
0,542121,31
0,542123,9
0,542124,8
0,542125,12
0,542128,15
0,542129,7
0,542133,7
0,542141,2
0,542146,6
0,542147,29
0,542151,12
0,542174,17
0,542212,2
0,542213,8
0,542214,10
0,542220,3
0,542221,36
0,542223,6
0,542224,13
0,542226,18
0,542227,21
0,542231,84
0,542235,4
0,542236,42
0,542237,29
0,542238,25
0,542239,25
0,542240,11
0,542241,48
0,542242,8
0,542246,16
0,542247,15
0,542258,20
0,542266,31
0,542272,41
0,542277,18
0,542320,5
0,542345,42
0,542347,24
0,542350,5
0,542355,5
0,542360,56
0,542369,15
0,542371,11
0,542373,50
0,542374,16
0,542375,5
0,542377,9
0,542381,18
0,542382,11
0,542386,8
0,542388,9
0,542389,12
0,542393,79
0,542399,60
0,542401,44
0,542408,41
0,542411,6
0,542412,17
0,542419,22
0,542420,53
0,542425,10
0,542429,13
0,542430,8
0,542431,20
0,542432,3
0,542433,18
0,542434,16
0,542470,16
0,542503,35
0,542511,9
0,542526,50
0,542527,20
0,542528,15
0,542530,12
0,542533,2
0,542534,32
0,542535,20
0,542538,23
0,542543,16
0,542568,8
0,542584,20
0,542585,16
0,542595,38
0,542596,9
0,542598,19
0,542599,18
0,542601,30
0,542602,25
0,542603,14
0,542605,24
0,542606,5
0,542607,59
0,542608,52
0,542609,8
0,542610,32
0,542611,47
0,542613,43
0,542614,7
0,542616,15
0,542617,89
0,542618,41
0,542621,30
0,542623,15
0,542627,40
0,542628,3
0,542634,28
0,542636,2
0,542641,5
0,542647,28
0,542648,20
0,542649,17
0,542692,15
0,542707,5
0,542708,11
0,542710,22
0,542711,23
0,542712,5
0,542715,10
0,542716,20
0,542717,40
0,542718,7
0,542719,74
0,542720,8
0,542723,12
0,542727,27
0,542728,7
0,542731,19
0,542733,26
0,542737,34
0,542741,22
0,542745,22
0,542776,14
0,542778,14
0,542779,18
0,542786,21
0,542788,15
0,542790,18
0,542795,14
0,542796,19
0,542797,28
0,542806,39
0,542812,21
0,542835,12
0,542858,18
0,542859,3
0,542863,18
0,542865,8
0,542868,17
0,542869,18
0,542870,20
0,542881,30
0,542886,30
0,542887,13
0,542888,23
0,542893,23
0,542894,11
0,542895,56
0,542896,4
0,542897,5
0,542898,111
0,542899,13
0,542908,20
0,542911,11
0,542919,4
0,542923,26
0,542925,4
0,542928,27
0,542930,9
0,542931,12
0,542944,4
0,542989,8
0,542993,18
0,542994,16
0,542995,9
0,543001,20
0,543002,8
0,543003,8
0,543005,10
0,543007,10
0,543008,11
0,543010,21
0,543011,9
0,543015,12
0,543019,2
0,543021,16
0,543022,70
0,543023,9
0,543025,5
0,543027,6
0,543028,19
0,543031,6
0,543032,3
0,543036,18
0,543037,16
0,543040,244
0,543041,3
0,543043,3
0,543044,17
0,543045,10
0,543046,7
0,543048,7
0,543053,12
0,543054,16
0,543055,30
0,543094,29
0,543096,54
0,543106,10
0,543107,33
0,543113,26
0,543117,5
0,543118,17
0,543121,18
0,543122,11
0,543123,19
0,543125,13
0,543126,10
0,543127,4
0,543129,11
0,543130,4
0,543131,11
0,543132,14
0,543133,4
0,543161,29
0,543162,45
0,543164,26
0,543167,4
0,543170,10
0,543177,7
0,543180,21
0,543181,4
0,543186,2
0,543187,18
0,543189,11
0,543190,21
0,543191,44
0,543193,41
0,543196,34
0,543197,14
0,543198,3
0,543214,9
0,543235,48
0,543240,2
0,543242,23
0,543243,3
0,543245,21
0,543249,9
0,543250,25
0,543252,12
0,543256,11
0,543272,16
0,543273,45
0,543274,13
0,543275,24
0,543279,38
0,543280,9
0,543282,19
0,543283,5
0,543284,8
0,543285,25
0,543288,11
0,543294,7
0,543306,99
0,543325,7
0,543332,11
0,543342,29
0,543349,26
0,543350,12
0,543351,11
0,543352,4
0,543357,6
0,543359,11
0,543369,29
0,543371,85
0,543372,2
0,543376,2
0,543377,15
0,543380,7
0,543382,39
0,543391,16
0,543397,23
0,543411,19
0,543428,40
0,543447,48
0,543452,9
0,543455,2
0,543458,33
0,543459,13
0,543462,13
0,543470,70
0,543480,3
0,543482,8
0,543483,5
0,543484,26
0,543485,8
0,543519,20
0,543527,11
0,543534,13
0,543535,60
0,543537,4
0,543538,25
0,543540,8
0,543541,39
0,543543,35
0,543547,17
0,543548,20
0,543549,5
0,543550,5
0,543553,14
0,543565,17
0,543586,13
0,543587,16
0,543593,7
0,543594,19
0,543595,3
0,543596,9
0,543597,34
0,543598,18
0,543600,26
0,543610,21
0,543612,2
0,543619,30
0,543623,2
0,543626,19
0,543631,81
0,543639,17
0,543641,14
0,543645,19
0,543648,17
0,543651,19
0,543652,34
0,543657,10
0,543658,12
0,543664,10
0,543688,2
0,543693,2
0,543733,13
0,543734,23
0,543735,10
0,543739,12
0,543748,7
0,543754,23
0,543770,24
0,543777,43
0,543798,16
0,543799,5
0,543800,79
0,543803,61
0,543804,25
0,543805,18
0,543806,31
0,543807,12
0,543808,29
0,543809,18
0,543810,23
0,543812,63
0,543815,37
0,543820,38
0,543821,53
0,543822,12
0,543823,4
0,543824,12
0,543825,7
0,543832,24
0,543833,7
0,543836,15
0,543901,6
0,543910,23
0,543913,20
0,543914,9
0,543915,21
0,543919,11
0,543921,15
0,543923,8
0,543934,8
0,543973,43
0,543975,42
0,543978,61
0,543983,11
0,543990,24
0,543991,3
0,543993,18
0,543996,26
0,543997,36
0,543998,4
0,544039,3
0,544040,49
0,544044,14
0,544055,11
0,544058,16
0,544060,15
0,544061,2
0,544064,19
0,544065,17
0,544067,20
0,544068,25
0,544069,10
0,544070,28
0,544071,30
0,544076,2
0,544077,33
0,544081,13
0,544083,10
0,544084,5
0,544087,68
0,544091,10
0,544092,6
0,544093,7
0,544094,26
0,544095,13
0,544096,7
0,544097,41
0,544098,32
0,544100,19
0,544101,10
0,544102,14
0,544105,24
0,544106,44
0,544107,12
0,544110,28
0,544115,47
0,544143,2
0,544147,2
0,544151,13
0,544153,41
0,544156,15
0,544157,19
0,544161,22
0,544162,22
0,544163,2
0,544165,16
0,544167,27
0,544176,6
0,544179,17
0,544180,8
0,544181,27
0,544182,15
0,544187,15
0,544195,6
0,544196,5
0,544200,15
0,544203,26
0,544209,12
0,544271,14
0,544277,7
0,544280,15
0,544281,4
0,544293,60
0,544299,25
0,544302,10
0,544303,41
0,544304,42
0,544306,13
0,544309,29
0,544313,17
0,544316,43
0,544317,8
0,544319,17
0,544322,5
0,544328,4
0,544329,3
0,544332,14
0,544337,27
0,544338,17
0,544340,5
0,544341,19
0,544354,6
0,544356,17
0,544391,19
0,544394,16
0,544395,7
0,544399,12
0,544404,5
0,544406,59
0,544408,8
0,544409,35
0,544411,16
0,544412,17
0,544421,12
0,544441,2
0,544444,23
0,544447,16
0,544448,18
0,544449,24
0,544452,13
0,544453,19
0,544454,20
0,544456,14
0,544459,34
0,544461,44
0,544462,66
0,544463,83
0,544464,31
0,544465,23
0,544467,71
0,544470,33
0,544471,16
0,544472,14
0,544473,6
0,544474,14
0,544481,8
0,544483,11
0,544556,12
0,544565,17
0,544569,72
0,544571,63
0,544572,29
0,544574,21
0,544582,8
0,544585,7
0,544586,117
0,544591,33
0,544592,10
0,544596,13
0,544597,58
0,544600,2
0,544601,32
0,544603,4
0,544607,15
0,544610,15
0,544611,3
0,544634,43
0,544637,19
0,544643,15
0,544644,17
0,544646,28
0,544648,11
0,544650,9
0,544654,8
0,544656,28
0,544659,28
0,544661,31
0,544662,21
0,544663,16
0,544664,43
0,544666,29
0,544668,16
0,544677,78
0,544678,44
0,544680,4
0,544685,52
0,544687,20
0,544688,17
0,544691,41
0,544692,40
0,544693,6
0,544695,19
0,544697,8
0,544702,12
0,544724,7
0,544749,16
0,544754,26
0,544774,13
0,544778,67
0,544779,7
0,544789,20
0,544791,19
0,544795,58
0,544796,40
0,544798,11
0,544799,9
0,544800,17
0,544801,18
0,544802,18
0,544804,9
0,544806,16
0,544813,13
0,544815,16
0,544822,10
0,544823,29
0,544825,9
0,544826,7
0,544833,32
0,544835,11
0,544837,36
0,544838,9
0,544839,32
0,544846,18
0,544847,5
0,544885,20
0,544886,11
0,544887,67
0,544888,19
0,544898,8
0,544899,14
0,544900,18
0,544905,9
0,544907,23
0,544908,19
0,544910,23
0,544911,14
0,544913,28
0,544917,9
0,544919,10
0,544921,11
0,544922,9
0,544925,4
0,544930,51
0,544933,33
0,544934,19
0,544935,34
0,544939,6
0,544942,24
0,544943,27
0,544944,17
0,544969,18
0,544998,35
0,545000,12
0,545001,22
0,545011,7
0,545016,5
0,545017,9
0,545018,12
0,545020,4
0,545021,19
0,545028,11
0,545029,2
0,545031,23
0,545034,3
0,545036,28
0,545037,21
0,545038,28
0,545042,8
0,545043,20
0,545045,62
0,545046,10
0,545047,2
0,545048,24
0,545050,22
0,545051,4
0,545052,16
0,545053,62
0,545054,64
0,545057,13
0,545059,37
0,545064,11
0,545066,40
0,545067,29
0,545069,7
0,545070,8
0,545071,31
0,545072,15
0,545073,38
0,545074,12
0,545075,20
0,545076,9
0,545081,40
0,545082,26
0,545083,5
0,545084,18
0,545105,25
0,545140,2
0,545148,15
0,545149,13
0,545150,46
0,545151,3
0,545152,14
0,545153,20
0,545156,12
0,545157,12
0,545158,5
0,545165,18
0,545166,39
0,545170,7
0,545180,11
0,545181,6
0,545182,13
0,545184,14
0,545187,4
0,545190,15
0,545191,13
0,545213,11
0,545214,10
0,545218,14
0,545220,15
0,545221,30
0,545229,3
0,545233,10
0,545234,12
0,545237,6
0,545238,28
0,545276,8
0,545289,30
0,545300,19
0,545301,41
0,545302,38
0,545303,16
0,545304,30
0,545305,7
0,545306,2
0,545308,29
0,545309,7
0,545310,5
0,545311,9
0,545312,28
0,545313,10
0,545314,25
0,545318,11
0,545321,12
0,545323,4
0,545324,27
0,545327,41
0,545328,6
0,545334,47
0,545337,33
0,545338,51
0,545339,19
0,545342,10
0,545343,10
0,545344,18
0,545346,18
0,545348,4
0,545400,23
0,545408,35
0,545410,40
0,545411,20
0,545415,31
0,545416,21
0,545417,29
0,545419,28
0,545423,23
0,545425,11
0,545428,22
0,545429,24
0,545430,8
0,545431,4
0,545435,11
0,545441,14
0,545445,41
0,545461,22
0,545462,29
0,545463,3
0,545465,4
0,545467,4
0,545468,29
0,545469,18
0,545470,9
0,545471,15
0,545474,31
0,545477,16
0,545505,5
0,545514,20
0,545515,27
0,545518,15
0,545519,14
0,545521,2
0,545522,17
0,545523,40
0,545524,12
0,545526,14
0,545533,22
0,545534,13
0,545536,18
0,545543,29
0,545557,4
0,545558,11
0,545570,3
0,545571,36
0,545573,8
0,545574,18
0,545575,11
0,545576,3
0,545578,8
0,545579,22
0,545580,20
0,545583,15
0,545585,16
0,545588,15
0,545589,15
0,545590,23
0,545595,19
0,545596,15
0,545597,9
0,545630,8
0,545635,16
0,545636,23
0,545646,6
0,545647,5
0,545648,6
0,545649,37
0,545652,3
0,545654,17
0,545655,44
0,545658,79
0,545659,3
0,545660,37
0,545663,13
0,545664,17
0,545665,13
0,545676,6
0,545680,5
0,545682,40
0,545683,57
0,545684,7
0,545685,42
0,545686,8
0,545687,72
0,545691,25
0,545695,86
0,545696,20
0,545697,32
0,545698,15
0,545699,25
0,545702,20
0,545704,6
0,545705,14
0,545708,8
0,545709,17
0,545710,7
0,545711,8
0,545712,10
0,545718,20
0,545725,5
0,545738,2
0,545759,23
0,545797,59
0,545812,37
0,545815,11
0,545819,15
0,545820,2
0,545826,16
0,545830,50
0,545835,22
0,545851,20
0,545853,17
0,545854,33
0,545856,4
0,545869,13
0,545871,10
0,545872,89
0,545873,6
0,545883,9
0,545894,23
0,545896,5
0,545898,10
0,545899,12
0,545901,159
0,545902,2
0,545905,14
0,545906,59
0,545907,16
0,545909,41
0,545910,19
0,545911,2
0,545912,6
0,545915,16
0,545916,12
0,545918,9
0,545928,19
0,545933,27
0,545945,24
0,545978,115
0,545980,49
0,545988,18
0,545992,3
0,545994,17
0,546003,53
0,546005,53
0,546006,7
0,546009,11
0,546013,32
0,546015,29
0,546017,26
0,546019,11
0,546027,26
0,546028,40
0,546030,8
0,546034,20
0,546035,6
